case_id,case_number,date_time,primary_type,description,location_description,district,ward,criminal_id,
10302275,HY490752,11/05/2015 06:08:00 PM,OTHER OFFENSE,PAROLE VIOLATION,STREET,7,15,86,
10302296,HY490754,11/05/2015 06:00:00 PM,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,11,28,47,
10302298,HY490828,11/05/2015 01:00:00 PM,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),FEDERAL BUILDING,1,2,45,
10302299,HY490769,11/05/2015 06:30:00 PM,DECEPTIVE PRACTICE,THEFT OF LOST/MISLAID PROP,CTA STATION,6,21,146,
10302300,HY490767,11/05/2015 06:35:00 PM,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),VEHICLE NON-COMMERCIAL,11,27,7,
10302306,HY490819,11/05/2015 07:24:00 PM,NARCOTICS,POSS: SYNTHETIC DRUGS,PARKING LOT/GARAGE(NON.RESID.),7,17,5,
10302315,HY490718,11/05/2015 06:27:00 PM,CRIMINAL TRESPASS,TO LAND,APARTMENT,10,24,145,
10302370,HY490846,11/05/2015 07:20:00 PM,BATTERY,SIMPLE,DEPARTMENT STORE,12,27,30,
10110340,HY298911,06/12/2015 12:54:00 AM,THEFT,$500 AND UNDER,RESIDENCE-GARAGE,4,8,18,
10302382,HY490553,11/05/2015 04:30:00 PM,BATTERY,AGGRAVATED: HANDGUN,SIDEWALK,4,7,13,
10302383,HY490834,11/05/2015 07:20:00 PM,CRIMINAL TRESPASS,TO RESIDENCE,RESIDENCE,7,17,84,
10302384,HY490840,11/05/2015 06:47:00 PM,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,RESIDENCE,3,6,44,
10302407,HY490879,11/05/2015 08:25:00 PM,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,10,24,36,
10302412,HY490870,11/05/2015 04:25:00 PM,PROSTITUTION,SOLICIT FOR PROSTITUTE,OTHER,12,26,136,
10302424,HY490803,11/05/2015 06:25:00 PM,THEFT,RETAIL THEFT,DEPARTMENT STORE,6,17,15,
10302428,HY490926,11/05/2015 09:17:00 PM,OTHER OFFENSE,PAROLE VIOLATION,SIDEWALK,8,15,63,
10302435,HY490910,11/05/2015 08:43:00 PM,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),SIDEWALK,7,16,5,
10302436,HY490775,11/05/2015 06:00:00 PM,BATTERY,AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST,RESIDENCE,7,16,3,
10302440,HY490876,11/05/2015 07:00:00 PM,PROSTITUTION,OTHER PROSTITUTION OFFENSE,OTHER,12,25,136,
10302448,HY490877,11/05/2015 07:59:00 PM,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,6,8,31,
10302450,HY490931,11/05/2015 08:52:00 PM,NARCOTICS,POSS: HEROIN(WHITE),STREET,7,16,5,
10302455,HY490464,11/05/2015 02:25:00 PM,THEFT,RETAIL THEFT,SMALL RETAIL STORE,4,8,18,
10302483,HY490810,11/05/2015 07:26:00 PM,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,2,3,33,
10302496,HY490989,11/05/2015 10:27:00 PM,OTHER OFFENSE,PAROLE VIOLATION,STREET,6,18,85,
10302499,HY490912,11/05/2015 09:04:00 PM,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,SIDEWALK,4,10,94,
10302503,HY490935,11/05/2015 08:29:00 PM,NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,PARKING LOT/GARAGE(NON.RESID.),5,9,8,
10302505,HY490944,11/05/2015 09:09:00 PM,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,SIDEWALK,7,17,87,
10302519,HY490980,11/05/2015 09:55:00 PM,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,11,28,7,
10302522,HY491010,11/05/2015 10:44:00 PM,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,6,17,12,
10302527,HY490986,11/05/2015 10:11:00 PM,OTHER OFFENSE,PAROLE VIOLATION,SIDEWALK,3,6,64,
10302530,HY491004,11/05/2015 10:39:00 PM,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,3,20,44,
10302537,HY490964,11/05/2015 10:20:00 PM,DECEPTIVE PRACTICE,THEFT OF LOST/MISLAID PROP,SIDEWALK,10,12,118,
10302543,HY490993,11/05/2015 09:39:00 PM,DECEPTIVE PRACTICE,FORGERY,STREET,9,11,124,
